,value
0,-0.8071675843072041
1,-1.0306939321912758
2,-1.0426491206707882
3,-1.08372839959097
4,-1.200891826351961
5,-1.1639488141885588
6,-1.3178830827647001
7,-1.3938070369472029
8,-1.4327706791338564
9,-1.2776500686852221
10,-1.3053634181525686
11,-1.2173907966969655
12,-1.3475477922650583
13,-1.377052764304362
14,-1.481275280547301
15,-1.076105486317527
16,-1.2444004747709514
17,-1.3597622971088992
18,-1.1213992804818698
19,-1.5789787252506549
20,-1.369299560061512
21,-1.4294236813224364
22,-1.1922180397165882
23,-0.9747906867288745
24,-1.2601251611720612
25,-1.0520920016176205
26,-0.9733815083933859
27,-0.780530076116885
28,-1.1239225315140673
29,-0.574119826885381
30,-0.826314270220796
31,-0.40591481016662095
32,-0.24638672348484447
33,-0.489447899318435
34,-0.5633592769089262
35,-0.02369803052089048
36,0.014666124214830933
37,0.1922908323833865
38,-0.014333932653529446
39,0.38830456763282584
40,-0.026211432223912423
41,0.5564918651844288
42,0.5221756440372162
43,0.6356339525720756
44,0.4390237872485425
45,0.6451076493265706
46,0.4687433415985123
47,0.6260968980938002
48,1.0650933396867788
49,0.8490481896615363
50,0.8249416396911333
51,1.102138486911748
52,0.7899383393130941
53,1.1301666653502525
54,1.0986645573571474
55,1.5968257792825598
56,1.516453364457425
57,1.1940631608995877
58,1.1408326504259065
59,1.3029393866384416
60,1.3308734713257173
61,1.2511227129235833
62,1.529826706025297
63,1.4181396860235518
64,1.4350214903994507
65,1.2687768310124314
66,1.170164161123889
67,1.0469814807581528
68,1.595584115092904
69,1.3368214164681507
70,1.1775677582097959
71,1.0982572208662813
72,0.889833201774004
73,1.1550100084224997
74,1.1854890078974796
75,1.1998089433626318
76,0.6747689220542026
77,0.7723742058891594
78,0.8833198855119393
79,0.5400967254087781
80,0.48347939950874774
81,0.7623703497441265
82,0.34163384434252264
83,0.4057359430386134
84,0.2303887015794055
85,0.13646695020320831
86,0.08956739163059912
87,-0.10826471432800278
88,-0.17808769728846185
89,-0.4710529805430488
90,-0.3275664683362788
91,-0.383036811379171
92,-0.30764829485073675
93,-0.5472726303012311
94,-0.43979944457519105
95,-0.6825655413454503
96,-0.6628551353131715
97,-1.03512961542111
98,-0.9995254017449154
99,-0.7296106905928004
100,-1.1654587257885336
101,-0.7173929894579416
102,-1.1918260657129243
103,-0.8923359270172803
104,-1.0293195905079116
105,-1.3102769751601626
106,-1.1331740748924892
107,-1.1391098604754688
108,-1.334321953251519
109,-1.3420675455829887
110,-1.4782410721506285
111,-1.397976142334818
112,-1.4320102216482682
113,-1.190950360858083
114,-1.537593800109506
115,-1.1103375131674438
116,-1.437507884709954
117,-1.323020170669552
118,-1.2325405104729787
119,-1.049529563694144
120,-1.2270139581969008
121,-1.1495300072887205
122,-1.2223614174130193
123,-1.1521067451564306
124,-0.8116775592962789
125,-0.8365790116051173
126,-0.8455959529415664
127,-0.8409849859552588
128,-0.6368297490083185
129,-0.7808712852596751
130,-0.7420455189238097
131,-0.5920223163653582
132,-0.34389732843667054
133,-0.1573542427397675
134,-0.15648413634910907
135,-0.2227036177837436
136,-0.04204399070951903
137,0.24359309495951176
138,0.34856848885423597
139,0.45121645772005153
140,0.2777983955615242
141,0.6657234757701311
142,0.272047145665154
143,0.32510251043158
144,0.6122981212573753
145,0.6327696520248405
146,0.8895961742484846
147,0.8009471460267006
148,0.5535087873408664
149,0.9583454388088124
150,1.2459749572677241
151,1.1629588534726965
152,1.2697463003982667
153,1.2862203830746177
154,1.172547554826941
155,1.2183807987539295
156,1.127700401242797
157,1.6000369558940244
158,1.3883359589102957
159,1.3205196317279055
160,1.5041889253876686
161,1.5859819489760407
162,1.6608351217614608
163,1.3979497574478583
164,1.4935258707398027
165,1.3477099860621546
166,1.2928898411666931
167,1.4069684212670546
168,1.357233044044855
169,1.3108064410638476
170,1.1135208731810826
171,1.0585190959982884
172,1.0525755568170743
173,1.0748534289447638
174,0.986796152868771
175,0.8705734105325111
176,0.8947276923145104
177,0.793872290758801
178,0.5260040191423841
179,0.4353311542287166
180,0.27454529767767677
181,0.5678339656981692
182,0.48225771228244674
183,0.3730948009084569
184,-0.02528400364001726
185,0.2767851744482641
186,0.06461818574494338
187,-0.09979486313063224
188,0.09761882407096811
189,-0.34221227787984
190,-0.3211488953078321
191,-0.6982822360163158
192,-0.5905080863715162
193,-0.5958168924846821
194,-0.7479761162812724
195,-0.5600477132884869
196,-0.823321859349599
197,-1.0882837382832782
198,-1.1239175709116163
199,-0.8363378771946964
200,-1.1830087664394562
201,-1.0344498450573636
202,-1.0545553034650756
203,-1.1381901465547064
204,-1.1695057947244978
205,-1.1309356355873543
206,-1.2627992692515617
207,-1.5441677668162486
208,-1.0966717192057307
209,-1.4626800836812548
210,-1.6933446724141725
211,-1.251606698876262
212,-1.5337089266656976
213,-1.5281125754652556
214,-1.549570023524895
215,-1.3303155877624653
216,-1.065346138761364
217,-1.2463645653898259
218,-1.334112580345895
219,-1.2394215137798636
220,-1.2518307587005733
221,-1.4211207694723647
222,-1.04399466556045
223,-1.0741672249041154
224,-1.0636941133641369
225,-0.7302993267812234
226,-1.2397844827859001
227,-0.7402197031193729
228,-0.7683364807429722
229,-0.4516884460849852
230,-0.47151389304256197
231,-0.47168113718736565
232,-0.5143078684426642
233,-0.6480850563735859
234,-0.30750033971561364
235,-0.12794893350917425
236,-0.12525940343429165
237,-0.04652949430191633
238,0.16605495482397936
239,0.32334118323987393
240,0.07900705090890858
241,0.2788455805034785
242,0.7094788715082689
243,0.3822781339717368
244,0.31722951492376433
245,0.92440139681696
246,0.7028501507425033
247,0.8028623913495722
248,0.783293286574349
249,1.001646878441821
250,0.8583133706497242
251,0.9597485707564332
252,1.085270629024427
253,0.9504907296833909
254,1.280343577416745
255,1.1191371685638807
256,1.3198003430779943
257,1.4245775652011132
258,1.3584850374061677
259,1.0713199374770022
260,1.4553662422523053
261,1.4499826146891923
262,1.2602574290123294
263,1.5115140099722906
264,1.081467701206939
265,1.5595506880087495
266,1.0835716641919562
267,1.3246544873190085
268,1.5674100748084125
269,1.2874953798356192
270,1.1797591174078397
271,0.9132420632370715
272,1.220303376572148
273,1.1375726421581274
274,1.2029220018031406
275,0.9912530150937942
276,0.8634075154400795
277,0.7585414042216023
278,0.984763388888072
279,0.45373755463036103
280,0.5348263050352249
281,0.4802350892474827
282,0.3947590613747751
283,0.022856452143917183
284,0.05337191881314207
285,-0.03373624469089698
286,-0.21400322390901627
287,-0.04795908581391006
288,-0.19988219518584305
289,-0.0011969134720859476
290,-0.24760516468678728
291,-0.3268079570682839
292,-0.5894319328587126
293,-0.7105137310239101
294,-0.4196780376451251
295,-0.8195771849807234
296,-0.943306125257606
297,-1.0910519691564973
298,-0.864248120966365
299,-1.0533201973466557
300,-0.723160988211136
301,-1.1048791376206801
302,-1.1859679629019477
303,-1.102997734939159
304,-1.2246618330940073
305,-1.0895130951670486
306,-1.3120452742816986
307,-1.0092153693451973
308,-1.1465865079072206
309,-1.3797139172059998
310,-1.0719247313508564
311,-1.4541640460544216
312,-1.3160133473623254
313,-1.170249795240755
314,-1.4600554149442468
315,-1.3930216079969437
316,-1.5773467693140102
317,-1.4878954966980966
318,-1.5053205909987946
319,-1.2681361872695405
320,-1.3866230497841598
321,-1.2095335559587483
322,-0.8602194252635402
323,-1.2682985570165448
324,-1.229060144344483
325,-0.9180247394756769
326,-1.07122529840387
327,-1.0877131897065067
328,-0.9188828245731425
329,-0.40986499777453655
330,-0.5301799727777781
331,-0.852952674180758
332,-0.20496678693705284
333,-0.3320384233566146
334,-0.3585506666199535
335,-0.2681464004523615
336,0.11731080973973884
337,0.09762388035197822
338,-0.23992773036742254
339,0.1962294226342466
